Date,Start,Stop
2024-08-02,05:49,10:28
2024-08-03,10:28,15:08
2024-08-05,08:07,15:09
2024-08-07,08:06,15:09
2024-08-08,05:45,10:27
2024-08-09,05:44,10:27
2024-08-11,12:49,15:11
2024-08-15,05:40,15:13
2024-08-17,10:26,15:13
2024-08-18,05:37,10:26
2024-08-19,08:01,15:14
2024-08-20,08:00,15:15
2024-08-21,05:35,10:25
2024-08-22,05:34,15:15
2024-08-26,05:31,15:16
2024-08-27,05:30,15:17
2024-08-29,05:28,15:17
2024-08-31,05:26,10:22
2024-09-03,07:51,15:19
2024-09-05,07:50,15:19
2024-09-07,10:20,15:20
2024-09-09,05:18,10:19
2024-09-11,05:16,12:49
2024-09-13,05:15,10:18
2024-09-14,10:18,15:22
2024-09-15,10:17,15:22
2024-09-18,05:09,15:23
2024-09-19,05:08,15:23
2024-09-20,05:07,15:23
2024-09-21,10:15,15:23
2024-09-22,05:05,15:23
2024-09-24,05:04,10:14
2024-09-25,05:03,15:24
2024-09-26,05:02,15:24
2024-09-27,05:01,15:25
2024-09-28,05:00,15:25
2024-10-02,04:57,15:26
2024-10-03,10:11,15:26
2024-10-09,04:51,10:09
2024-10-11,04:49,10:08
2024-10-12,04:48,10:08
2024-10-14,04:47,15:29
2024-10-15,10:08,15:29
2024-10-18,04:44,10:07
2024-10-20,04:43,10:07
2024-10-21,04:42,15:31
2024-10-22,04:42,15:31
2024-10-25,10:06,15:32
2024-10-26,10:06,15:33
